Services;Localisation;Region;Auteur;Commentaires;Date;Etoile;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Karim E;nul nul des conseillers qui devrait recevoir une formation car il ne savent rien, aucune connaissance de leur métiers...;23/05/2017;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Limousine Luxury;J'ai pas connu pire comme Pôle emploi .;22/05/2021;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Hassan Boughalm;Ils ont besoin d’une mise à jour dans se pôle emploi 👎👎👎👎 …;22/05/2021;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;sidi Sahnou;ouh catastrophe pire en pire;23/05/2018;1;
Pôle emploi;43 Av. Nelson Mandela, 93290 Tremblay-en-France;Île-de-France;Rady J.;Il y'a quelques mois j'etais contente de mon agence sur Tremblay, carJ'avais une conseillère compétente, mais malheureusement ma conseillère a été remplacée et là désolée le chamboulement Total,  une vraie catastrophe, de grosses erreurs sont faites (le poste recherché est l'administration et reconnue RQTH c'est à dire handicapé et ont me programme des ateliers dans la sécurité sans cesse chercher l'erreur) et quand j'essaye d'expliquer les problème qui réitère souvent avec la même conseillère, la responsable en ligne soit disant une responsable, n'écoute pas, un discours de sourds. J'aurais aimé mettre un zéro. Chacun est libre de donner son avis qu'il soit négative où positive, et je ne vois pas en quoi le poste de conseiller est difficile comme indiqué sur l'un des avis🧐. Il faudrait peut-être commencer à apprendre quel est le rôles d'un conseiller. Merci de relire les souhaits et leur domaine d'activité demandés par les candidats lors de leur  inscription à votre agence.;18/05/2023;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Phil;Standard désagréable au possible aucune aide aucun renseignement. Même pas fichus de fournir une information simple, on nous dis d'envoyer des mails mais bien sûr les réponses le vendredi à 17h c'est leurs forts.Je réitère Standard incompétent et désagréable!;23/03/2023;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Loris QUESADO;Je tiens à remercie Madame ISSAC et Madame NEMRI qui m'ont très bien conseillé pour mon projet de formation.Elles sont disponibles, à l'écoute et sincère dans leur démarche.;22/04/2023;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Hammad Zulfiqar;Je tiens à remercier madame Abida qui a été très professionnelle et qui m’a accueilli poliment malgré un petit retard de ma part.Mon dossier a été traité rapidement et Madame Abida m’a tout très bien expliqué.Superbe travail et bon courage pour la suite;23/12/2022;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Ogun Karbuz;Accueil téléphonique médiocre vraiment incroyable comment être pitoyable et sans aucune réponse a donner au clients et en plus de ça de s’énerver au téléphone vraiment fermer l’agence c’est mieuc;22/04/2023;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Abir Musleh;Franchement aujourd'hui je suis satisfaite il ya un monsieur qui m'a régler mon problème que ça fait longtemps je viens pour rien mais je veux remercie le monsieur qui a travailler aujourd'hui à pôle emploie;23/12/2022;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Nevin Aktas;Je donne les 5 étoiles exclusivement à Mme la Cheffe du service des indemnités, je vous souhaite de profiter de tous les bons moments que la vie offre, les mots ne pourront jamais assez vous remercier de votre investissement, des actions que vous menez et de toute l'humanité dont vous faites preuve et qui manque tellement à notre époque...Bonne continuationBien cordialement Mme Aktas;24/09/2022;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Salina A;Même une étoile ils ne la méritent pas ! Depuis le mois de novembre 2021 j’attend mes indemnités , nous somme en août 2022 !!!! Tout ça car c’est une étude mandataire tout le monde ce lance la balle ! Personne ne sait quoi vous dire à part « faut attendre! » ça fait 8 mois que je fait que ça attendre ! Pfff ils sont payer à rien faire , brasser de l’air !;25/08/2022;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Lisa M;Une étoile car obligée pour voter, mais cette agence n'en mérite pas. J'ai de nombreux problèmes depuis qu'on m'a mis avec la conseillère Mme HERRICHE. Impossible d'obtenir un rdv par téléphone ou mail et le site ne propose aucun créneau horaire. Jamais. Elle met des prestations dont je ne veux pas, ne tient pas compte de mon handicap et mes difficultés de déplacements. J'ai demandé à changer de conseillère le mois dernier. Aucune réponse de la direction. Je compte saisir le médiateur de l'emploi. Il n'est pas normal qu'un conseiller ignore les mails / appels d'un usager. Elle devait me mettre en relation avec sa collègue de la médecine du travail.. Ca fait plusieurs mois que j'attends toujours !! Quand j'appelle le numéro national, on me dit que c'est à l'agence que je dois m'adresser !! Sauf qu'ils s'en fichent complètement. Certains devraient changer de métier, étant donnée leur incompétence !!!;25/08/2022;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;arnaud remande;Excellent !spécialement Karim et Karine qui ont été pro et très disponible suite à mon dossier.Généralement pôle emploi est mal perçue et là non ! Ils font leur travail convenablement. Je me mets à leur place, qu'ils doivent gérer tant de dossier et de personnes insatisfaites.Je demande à être rappelé sur le serveur vocale dans les 2 heures et bien avant même je suis contacté par mon pôle emploi Gonesse par des agents.Superbe travail et j'en suis reconnaissant.NB: Je ne sais pas pour les personnes qui mettent des notes et avis négatifs. Mais j'ai une tout autre expérience et qui est positive. J'espère que pour elles les choses vont s'améliorer.Cordialement;22/05/2022;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Adam Sisaid;1h30 d'attente avant que l'on m'indique que mon conseiller n'est pas présent.Second rendez-vous fixé annulé la veille et aucune autre proposition de rendez-vous.Si vous êtes demandeurs d'emplois et avez des difficultés, bon courage à vous si vous y allez.;22/05/2021;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Bim BR;J ai accompagné une amie dans un service public défaillant!!!! . Le personnel de pôle emploi est la pour occuper un poste mais aucune mesures de prise pour les demandeurs d emploi. Vous allez au rdv pour voir une personne qui ne connaît rien à votre CV et ne connaît rien de rien à la recherche d emploi. Par contre les équipes sont en pause avant l heure et après l heure et entre les 2 ils vont de ci de la à rigoler . Pitoyable les services publics, fermer les agences ils ne servent à rien .;22/05/2021;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;soldato kratos;Impossible d'avoir une rendez vous!! Même pas par téléphone.Ce pôle emploi sert absolument a rien!!!!;26/07/2022;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Axelle Thiriot;Une bande d’incapable qui ne sais même ce qu’ils foutent comme boulot, c’est limite à nous de leur mâcher leur taff, du jamais vu ! 5mois pour toucher mes allocations et là encore des problèmes avec eux car vous comprenez mon centre de formation n’a pas déclarer que j’étais chez eux, pôle emploi me menace donc de me radier ?C’est donc cela la France ? Je crois rêver !;23/05/2019;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;nadia goubot;J'ai été très bien accueilli par une jeune fille qui a pris le temps de m'aider dans mes démarches et très bien expliquer ce que je devais faire moi de mon côté, je suis revenu et les deux femmes, accueil et la technicienne aussi que j'ai eu étaient à l'écoute, patiente pour m'expliquer le dossier et les papiers à rapporter pour ma futur formation et pour mon projet professionnel...;22/05/2020;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Ross Orion;J'ai juste sonné a l'interphone pour remettre un courrier et la personne, qui m'a répondu, a été très désagréable, aucune cordialité. Pour des personnes représentant l'Etat et la fonction publique, leur niveau de courtoisie est franchement et sincèrement à revoir.;23/05/2019;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Mali Delm;Horrible ce pôle emploi ,une bande d agent très méchant qui se permet de dénigré  les demandeurs  d emploi,  qui se permet  de menace de les radier  ou de supprimé  leurs allocations  entre ceux qui sont  en arrêt maladie,  des agents  cruels, qui savent  rien si de la méchanceté,  mais un jour ou l autre la roue tourne,  à fuir la bas c est pas normale c est agents  paye à rien faire .... si se moque des gens  et rien que de la méchanceté.;23/05/2019;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Tessy;malveillantes , je demande des conseils pour ma situation , on me coupe la parole pour me dire je suis pas la pour vous conseiller mais seulement à titre d’informations et me raccroche dessus,;26/07/2022;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Baps;Quand on est au téléphone avec eux ça coupe on veut les rappeler ça ne fonctionne pas donc on doit se débrouiller tout seul pour envoyer des documents qu'on ne connaît pas personne pour aider du coup je ne peux rien toucher vu qu'on nous laisse seul pathétique;22/05/2020;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Makao TV;Des incapables et je ne vous parle mm pas de Mme Belaidi qui limite s en fou de tout ce qu'on lui dit .. Nous somme une 20 ene à se plaindre d elle alors quelle est toujours présente.;23/05/2019;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Karine M.;La pire agence que j’ai vu !! Aucun conseil de la part des « conseillers », personnels hautains, aucune réponse de leur part lorqu’on leur écrit ! Pour ma part, c’etait le pire rendez vous que j’ai jamais eu 😒 !!! …;23/05/2018;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Kati Shan (Katishan);Merci à monsieur …… Paul qui a tout de suite compris m’a situation et m’a immédiatement aidé je suis très content;22/05/2022;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Ninja Touns;Si on vous attribue DUTRIEZ julien comme conseiller, demandez en un autre. Ce mec est une racaille, j'aurais dû filmer mon entretien.;23/05/2018;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Kimjong Un;Je pense que tout les autres commentaires résume parfaitement ce pôle «emploi » qui ne sert absolument à rien .;23/05/2019;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Edson Giaccaglia;Tres bien avec un bon accueil et une bonne prise en charge pas les conseillers.;22/05/2020;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;nicolas rodrigues;Si vous ne comprenez pas pourquoi le pays va mal allez faire un tour dans se pôle emploi en temps que demandeur d'emploi vous y trouvez toutes les réponses;23/05/2017;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;John Azria;J’ai rarement vu un service aussi nul.;23/05/2018;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Toufic Mohamed;Parce que l'on peut pas mettre une note en dessous,,;23/05/2019;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Robert DIDI;Bien;22/05/2020;5;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;astrors3;Numeros plus attribué;23/05/2016;1;
Pôle emploi;10 Rue Berthelot, 95500 Gonesse;Île-de-France;Yo Knk;Catastrophique.;23/05/2018;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Kate Katou;Cette agence est à fuir ! les moyens n'y sont pas et les conseillers indemnisations et emploi sont incompétents. Ils se permettent de vous laisser sans allocations durant 20 jours ET cela sans scrupules.  Les conseillers indemnisations ne répondent quasiment pas et sont hautains.Il y a fort intérêt à faire valoir ses droits et à prends contact avec la CGT CHOMEURS;26/07/2022;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Tracy Claude;Je suis chez eux depuis mai 2016,  entre 2017 et 2018 tous les rdv sont annulé, En 2019 ils m'ont rappeler pour activ'projeten formation à NUEVO, et en 2022 je suis en accompagnement global  (pour combien de temps?), Je change souvent de conseillers, les rdv sont parfois sur place et parfois au téléphone.;23/11/2022;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Nicole Nicole;Incompétence des plus totales, que ce soit au niveau des conseillers ou même plus haut dans la hiérarchie.;21/02/2023;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Naissa Mar;J'ai été accompagnée par  Madame Jeddi une conseillère  très humaine, disponible et à mon écoute du début à la fin.  Elle a su me donner de très bon conseil de mon inscription jusqu'à ma reprise d'activité.;22/05/2022;5;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;aisha shugg;Les conseillers sont à fuir, ils ne vous aide pas à trouver du travail ni une formation et si vous trouver une formation ils vous aide aucunement à vous renseigner pour le financement, transférer un document encore pire et quand tu te plaint jamais d'explication c'est direct sur la défensif porter plainte c'est du n'importe quoi chez eux;22/05/2022;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Shinji Shinji;On y absorde le peu d'espoir que vous auriez pu avoir en y entrant. Bref, prévoyez un paquet d'antidépresseurs avant d'y aller.Dans les détails, morosité ambiente. Impatience et démotivation du personnel. Soupir, sarcasme, haussement des épaules fréquent lors des échanges. Il n'y a pas un jour sans que quelqu'un pète un cable.;23/05/2018;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Bobonie95;Personnel désagréable. J'y arrive pour demander des informations sur les aides possibles de PoleEmploi et au final la dame ne m'explique même pas les différentes aides et me répètent d'aller voir sur Internet. J'étais venue pour avoir des informations claires car sur Internet ce n'est pas du tout clair, super...;23/05/2018;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;toufou tou;Désagréable , a fuir conseiller incompétent toujour dans le négatif,👎sa fait 3 ans et demi que Mme Arakama Touré a rien fait pour moi,je vous la déconseillé vous allez le regretté cette soit disent conseiller sécuriser 👎😠  👺 …;22/05/2021;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Jean claude garry;Bonjour  j'ai  pas  le mot de passe   vous  pouvez   envoyer  par  émail  pour  moi;23/05/2017;5;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Francois Doman;Juste horrible j arrive pas a dire autre chose;23/05/2018;1;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Christophe Grand;Ras;22/05/2022;5;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;artyx aménagement;🏆🏆🏆🏆🏆 …;23/05/2017;5;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Dairain Sylvie;J'avais rendez-vous je suis arrivée avec 5 minutes de retard car un camion qui rétine les épaves et  la police bloquer l'accès on m'a dit que je devais attendre je suis à mobilité réduite station debout pénible on m'a dit de m'assoire et 15 minutes plus tard que j'étais trop en retard pour être reçu;21/05/2023;2;
Pôle emploi;43 Av. Paul Valéry, 95200 Sarcelles;Île-de-France;Shah M Hasan;The place is clean, calm and bright.Peoples are very helpful. Even I cant speak good french they gave their full effort to make me understand. My purpose was served 100℅Appreciate it!!!;22/05/2022;4;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Miss Fortune;Très mal organisé. Les conseillers sont irrespectueux et irresponsables. Lors que la faute viennent d’eux c’est plus leur problème on vous laisse dans la galère. Aucune empathie. Les employés nécessitent une formation sur la communication et l’empathie.;22/01/2023;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Rady J.;J'aurais aimé zéro à cette agence pôle emploi, aucune organisation et manque de communication entre conseiller. Il faudrait mettre vos pendules à l'heure svp et accorder vos violons;21/02/2023;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;bachir baha;Ils ont égaré ma demande d arce il a fallu que je passe pour ré demander un autre exemplaire et refaire toute la procédure à nouveau bien sur avec beaucoup de retard. Déçu;21/02/2023;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Benjamin Marcadet;Pôle emploi aulnay sous bois, là où travaille des gens incompétents et irrespectueux. Aucune aide pour les demandeurs d'emploi, leurs seules envies te déclarer radié.;22/04/2023;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Luke 8193;Accueil très mal géré ! 2 personnes seulement s'occupent de recevoir les gens qui forment une énorme file d'attente ! Les 2 employés (de pôle emploi !), ne sont hélas pas soutenues par le grand nombre de collègues qui se fichent éperdument des gens qui font la queue ! Je mets quand même 2 étoiles, car malgré avoir attendu plus d'une heure, le monsieur à l'accueil a été courtois !;22/05/2022;2;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Claire Tri;Un grand merci a madame ferri .super suivi par madame ferri qui a su me guider a ma sortie d'école et qui a su suivre mes attentent et me fournir un travail sous contrat  qui me passionne mais voilà temporaireMais vraiment très déçu de la nouvelle . Depuis le changement c'est comme ci je n'était plus inscrit , plus de rendez vous pour m'aider à retrouver un vrai emploi stable , plus moyen d'être guider pour pouvoir savoir comment on peut m'aider pour le permis de conduire. Très déçu;22/05/2022;4;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Alexandre A;RDV annulé soit disant par le logiciel, bref j'attends sans savoir quand je serai pris sachant que dans mon cas rien avance, je tourne en rond.J'estime que pôle emploi aide un certain type de personnes et pas d'autres.Dois-je jouer au demeuré pour être aider ?;22/05/2021;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Rayen Lala;Lorsque vous donnez un rendez-vous aux gens essyez de le respectez et venir à l heure ...vraiment c nul ..j'arrive à l heure mais je dois vous attendre 1h de plus;24/10/2022;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Hf Bn;Les conseillers incompétents et méprisent, la direction n'en parlons pas une catastrophe, aucun accompagnement même quand les situation sont clair et précise.Et pour information j'ai fait un stage à la maison le l'emploi du blanc mesnil, qui est dans le même bâtiment que le pôle emploi, incomparable avec le zoo d'aulnay sous bois.;22/05/2020;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Florence Viars;Un immense merci à Edwige Tchanon qui m'a suivi durant mon année de CSP avec professionnalisme et une grande réactivité. Plus d une fois, vous avez répondu présente et résolu mes problèmes avec une grande gentillesse et grande conscience professionnelle. Ne changez rien, vous êtes plus que parfaite, et j espère que ce message vous sera transmis.. Un grand MERCI  du fond du cœur.Florence Le Guellec Viars;22/05/2021;5;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Claire Martinez;En retard a 9h du matin, employé qui pousse mon fils de 2 ans, et toujours aussi sympa...Et vue que je peut pas faire garder mon fils dans deux jours je doit me réinscrire une autre fois. Institution d'emmerdement publique!;23/05/2018;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Bruno CHARLIER (Dyoniso);Très mauvais accueil, attente interminable avec un  personnel incompétent et irrespectueux et surtout Mme Slimani qui s'amuse à  donner de fausses informations.;22/05/2022;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Mariam Jgn;Donne des RDV fantôme. Ont me convoque arriver là bas j'attends 20 min pour au final apprendre que ma conseillére est absente... Le respect dans tout ça?;23/05/2018;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Beauty Beauté;Il faux scanner les documents je c est pas bien faire cela il y a que 2 personne pour vous aidée c est mal organisé .;23/05/2017;1;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Irina Bolgar;J’ai une conseillère sérieuse et professionnelle.;22/05/2022;4;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Jean-Noel Carron;Il faut savoir utiliser ce service, ce qui n'est pas évident pour tout le monde !;22/05/2020;4;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Luis Gomes;Supers conseillers dans le cadre csp, et atelier assez dynamique;23/05/2018;5;
Pôle emploi;135 Rue Jacques Duclos, 93600 Aulnay-sous-Bois;Île-de-France;Isaak Aulnay;0 personnel irrespectueux;23/05/2017;1;
